candidate_index,K,lr,steps,EER,AUC,accuracy_at_tau0,mean_signed_task_delta,median_signed_task_delta,bonafide_mean_signed_delta,spoof_mean_signed_delta,helpful_flip_count,harmful_flip_count,net_helpful_flip,view_reduction,view_reduction_raw,mean_R_norm,guard_activation_rate,guard_revert_rate,mean_backtracks,numeric_fallback_count,selection_score,n_samples
0,0,,0,0.09857072449482504,0.9633087850193088,0.4367526746381372,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6251694516852769,3178
1,1,0.03,1,0.09834638816362051,0.963313932315627,0.4367526746381372,-0.0007958228273763831,-0.00016920268535614014,5.292356337391725e-05,-0.002294609969963293,0,0,0,0.00044282676169738144,0.00044282676169738144,0.00030333358709441554,0.3596601636249213,0.0,1.5956576463184393,0,0.6248906304733213,3178
2,3,0.003,3,0.09857072449482504,0.9633195085533052,0.4367526746381372,-0.00035643806391500544,-6.771087646484375e-05,2.8154308305931187e-07,-0.000986363288109151,0,0,0,0.0002419970925679528,0.0002419970925679528,0.00015481947590175924,0.250471994965387,0.0004195510803440319,3.429200755191945,0,0.6248210496965528,3178
3,3,0.3,3,0.09834638816362051,0.9627267115939847,0.4367526746381372,-0.016113805643806222,-0.0007698535919189453,0.0013882924530410955,-0.047020469733017024,0,0,0,0.007046159211075557,0.007046159211075557,0.005096755222878822,0.5819173484371722,0.007971470526536606,13.268407803650094,0,0.6263647002738965,3178
4,5,0.03,5,0.09834638816362051,0.9632663198246831,0.4367526746381372,-0.003257460925022411,-0.000508427619934082,0.00023414030076248296,-0.009423221488223063,0,0,0,0.0015793197046421268,0.0015793197046421268,0.0011165750140922995,0.4302706104468219,0.015481434864694776,16.899937067337948,0,0.6249344071656998,3178
5,10,0.003,10,0.09857072449482504,0.9633190796119453,0.4367526746381372,-0.0008512761624374053,-0.00018978118896484375,4.396959588467752e-05,-0.0024321757652533377,0,0,0,0.0004922400230518303,0.0004922400230518303,0.0003333264736692422,0.30742605412208934,0.06488357457520454,30.656702328508494,0,0.6247752159024121,3178
6,10,0.3,10,0.09834638816362051,0.9615286783759079,0.4367526746381372,-0.0399870070751318,-0.0008637905120849609,0.0038382231440081157,-0.11737725260571047,1,1,0,0.017546252008569106,0.017546252008569106,0.013380017130745079,0.6421648835745752,0.22765890497168031,76.04531151667716,0,0.6292984203990004,3178
7,1,0.001,1,0.09857072449482504,0.9633117876088277,0.4367526746381372,-8.042391607639848e-05,-8.106231689453125e-06,-2.7822796025847263e-06,-0.00021752999127689292,0,0,0,7.656354038439025e-05,7.656354038439025e-05,4.4357270016781336e-05,0.13624921334172435,0.0,0.25298930144745124,0,0.624990967846485,3178
8,1,0.1,1,0.09834638816362051,0.9632748986518802,0.4367526746381372,-0.0021941456228700956,-0.00034308433532714844,0.00015385957878172955,-0.006340448977223057,0,0,0,0.001075244971964237,0.001075244971964237,0.0007588111492035675,0.44808055380742606,0.0,2.330711139081183,0,0.6249813889496588,3178
9,3,0.01,3,0.09857072449482504,0.9633160770224264,0.4367526746381372,-0.0008456277642856236,-0.0001888871192932129,4.506360844122829e-05,-0.0024184848532871747,0,0,0,0.00048697445060900973,0.00048697445060900973,0.0003300689389165857,0.3260960771973988,0.00020977554017201594,5.342039018250472,0,0.6247873467711443,3178
10,5,0.001,5,0.09857072449482504,0.9633156480810665,0.4367526746381372,-0.00024570534070232815,-3.9577484130859375e-05,-6.669896350463897e-06,-0.0006678140583611032,0,0,0,0.00018449569472318736,0.00018449569472318736,0.00011412017502056991,0.2015103838892385,0.002013845185651353,5.672750157331655,0,0.624843309738681,3178
11,5,0.1,5,0.09834638816362051,0.9630312599594822,0.4367526746381372,-0.009615880342832221,-0.0007421970367431641,0.0008089999852361439,-0.028025003219812824,0,0,0,0.004311838055047293,0.004311838055047293,0.0030868017414692767,0.5254247954688483,0.028760226557583386,22.526746381371932,0,0.6256061725487997,3178
12,10,0.01,10,0.09834638816362051,0.9632976325439525,0.4367526746381372,-0.0022919289791186403,-0.00040924549102783203,0.0001615293290945272,-0.006624450221385408,0,0,0,0.001154523431658012,0.001154523431658012,0.0008102695567855662,0.39024543738200124,0.09716803020767778,41.033983637507866,0,0.6248491343102837,3178
13,1,0.003,1,0.09857072449482504,0.9633100718433883,0.4367526746381372,-0.0001571598650900503,-2.384185791015625e-05,-3.941346119635795e-06,-0.00042772590076539495,0,0,0,0.00012384697054192056,0.00012384697054192056,7.576005059923663e-05,0.21271239773442416,0.0,0.5645059786028949,0,0.6249384233557965,3178
14,1,0.3,1,0.09834638816362051,0.9631543661297608,0.4367526746381372,-0.005979907660832414,-0.00048422813415527344,0.0004742430782835139,-0.01737718516271772,0,0,0,0.002699765090210654,0.002699765090210654,0.0019211526819593535,0.5349276274386406,0.0,3.1371932032724983,0,0.6253746252815351,3178
15,3,0.03,3,0.09834638816362051,0.9633040666643504,0.4367526746381372,-0.00208385417658702,-0.0003838539123535156,0.00015018807660775445,-0.0060289122546829275,0,0,0,0.0010589273973249727,0.0010589273973249727,0.0007417253305709387,0.40203482273966856,0.0011537654709460876,7.443045940843298,0,0.6248485405579519,3178
16,5,0.003,5,0.09857072449482504,0.9633190796119453,0.4367526746381372,-0.0005093886651206572,-0.00010967254638671875,1.115966248594522e-05,-0.0014286163036879298,0,0,0,0.00032195586127927464,0.00032195586127927464,0.00021133684790436162,0.27312775330396477,0.0031466331025802393,8.705160478288231,0,0.6247922063919497,3178
17,5,0.3,5,0.09834638816362051,0.962306778002686,0.4364380113278792,-0.02474046705080849,-0.0008366107940673828,0.002126891670878031,-0.07218508919728539,0,1,-1,0.01067462334766572,0.01067462334766572,0.007849113785365036,0.6054751415984896,0.048395217117684075,27.84046570169918,0,0.6273508243216297,3178
18,10,0.03,10,0.09834638816362051,0.9631783868459127,0.4367526746381372,-0.0060694212524151185,-0.0006642341613769531,0.0004687561828435613,-0.01761508010023049,0,0,0,0.0027938574097895385,0.0027938574097895385,0.0019901919470722952,0.4736941472624292,0.13370044052863436,52.00723725613594,0,0.6252147504555371,3178
19,1,0.01,1,0.09857072449482504,0.9633156480810665,0.4367526746381372,-0.00035494619885505257,-7.331371307373047e-05,3.65123982615163e-06,-0.0009881874548029754,0,0,0,0.00022482858715634936,0.00022482858715634936,0.00014693160942381243,0.2879169288860919,0.0,1.0358716173694147,0,0.6248943825550097,3178
20,3,0.001,3,0.09857072449482504,0.9633109297261081,0.4367526746381372,-0.00017535363900128816,-2.384185791015625e-05,-7.835550517387258e-06,-0.0004711710467766014,0,0,0,0.00014408484457317463,0.00014408484457317463,8.683064132016362e-05,0.17862387245647157,0.00020977554017201594,2.0191944619257396,0,0.6248802604834639,3178
21,3,0.1,3,0.09834638816362051,0.9631723816668747,0.4367526746381372,-0.006063966822556687,-0.0006493330001831055,0.0004688742978635123,-0.017600202360705152,0,0,0,0.00278480274605888,0.00278480274605888,0.001983156134950438,0.49643381581707574,0.003880847493182295,10.37098804279421,0,0.62523265747105,3178
22,5,0.01,5,0.09834638816362051,0.9633195085533052,0.4367526746381372,-0.0012739283988654352,-0.00026917457580566406,8.878430572855702e-05,-0.0036803201113294994,0,0,0,0.0006947206621817291,0.0006947206621817291,0.0004787335739207364,0.35116425424795467,0.007300188797986155,12.581497797356828,0,0.6247871355260566,3178
23,10,0.001,10,0.09857072449482504,0.9633182217292257,0.4367526746381372,-0.00038723552879708006,-7.534027099609375e-05,1.1521777594365647e-06,-0.0010730829235779088,0,0,0,0.00025929536904078864,0.00025929536904078864,0.0001665928008456376,0.23804279421019509,0.042416614222781625,22.59251101321586,0,0.6248068750387398,3178
24,10,0.1,10,0.09834638816362051,0.9626700913344838,0.4367526746381372,-0.01759383994136463,-0.0008068084716796875,0.0015344576788042612,-0.051372182736249467,0,0,0,0.007685961505131525,0.007685961505131525,0.005577335043505345,0.5674008810572687,0.18215859030837003,64.77092511013215,0,0.6265170572362293,3178
