flag,value
CALIBRATION_SHIFT_PRESENT,True
CALIBRATION_SHIFT_CONFIRMED,True
CALIBRATION_ONLY,False
RANKING_DEGRADATION_PRESENT,True
TEACHER_MISMATCH_SUPPORTED,True
ALLOW_NEXT_ADAPTATION_RESEARCH,True
STOP_NEW_EP_OBJECTIVES,False
NORMONLY_TARGET10_GAIN,False
TENT_TARGET10_GAIN,False
SAR_TARGET10_GAIN,False
MEMO_TARGET10_GAIN,False
TEST_TIME_NORMALIZATION_HARM_SUPPORTED,True
STANDARD_TTA_GAIN_ON_TARGET10_PILOT,0
NEXT_PRIORITY_1,UNSUPERVISED_TARGET_CALIBRATION
NEXT_PRIORITY_2,RELIABLE_PSEUDO_TEACHER
NEXT_PRIORITY_3,SELECTIVE_EVIDENCE_PRESERVING_ADAPTATION
