metric,value
CALIBRATION_SHIFT_PRESENT,True
RANKING_DEGRADATION_PRESENT,True
CALIBRATION_ONLY_INSUFFICIENT,True
CALIBRATION_SHIFT_CONFIRMED,False
TEACHER_MISMATCH_SUPPORTED,True
TEACHER_MISMATCH_INSUFFICIENT,False
ALLOW_NEXT_ADAPTATION_RESEARCH,True
STOP_NEW_EP_OBJECTIVES,False
tau0,-4.770049095153809
tau_target_balacc,2.857470989227295
frozen_balanced_accuracy,0.558896007885658
oracle_bias_balanced_accuracy,0.9020186409336166
frozen_fpr,0.8822079842286841
oracle_bias_fpr,0.0941350418925579
target_eer,0.09857072449482504
target_auc,0.9633087850193088
pseudo_signed_delta,-0.020624405451826963
oracle_signed_delta,0.026228238253510172
